analysis_id,analysis_name,domain_id,is_binary,missing_means_zero
701,Measurement,Measurement,Y,NA
10,DemographicsTimeInCohort,Demographics,N,Y
4,DemographicsRace,Demographics,Y,NA
901,CharlsonIndex,Condition,N,Y
904,Chads2Vasc,Condition,N,Y
8,DemographicsPriorObservationTime,Demographics,N,Y
902,Dcsi,Condition,N,Y
6,DemographicsIndexYear,Demographics,Y,NA
404,DrugEraGroupOverlap,Drug,Y,NA
204,ConditionEraGroupOverlap,Condition,Y,NA
7,DemographicsIndexMonth,Demographics,Y,NA
601,DeviceExposure,Device,Y,NA
201,ConditionEraStart,Condition,Y,NA
5,DemographicsEthnicity,Demographics,Y,NA
1,DemographicsGender,Demographics,Y,NA
101,ConditionOccurrence,Condition,Y,NA
401,DrugEraStart,Drug,Y,NA
9,DemographicsPostObservationTime,Demographics,N,Y
11,DemographicsIndexYearMonth,Demographics,Y,NA
3,DemographicsAgeGroup,Demographics,Y,NA
2,DemographicsAge,Demographics,N,Y
202,ConditionEraOverlap,Condition,Y,NA
801,Observation,Observation,Y,NA
501,ProcedureOccurrence,Procedure,Y,NA
903,Chads2,Condition,N,Y
