database_id,cohort_definition_id,rule_sequence,person_count,gain_count,person_total,mode_id
-274552186,144,2,14182,2795,18163,1
-274552186,144,1,15015,1961,18163,1
-274552186,135,3,109439,750,215140,1
-274552186,135,0,214626,20,215140,0
-274552186,144,3,18143,8,18163,0
-274552186,135,2,90233,13004,215140,1
-274552186,135,1,77564,19557,215140,1
-274552186,135,3,109439,750,215140,0
-274552186,135,2,90233,13004,215140,0
-274552186,135,1,77564,19557,215140,0
-274552186,15997,0,2003893,6300,2010193,0
-274552186,475,0,2003893,6300,2010193,0
-274552186,15997,0,2003893,6300,2010193,1
-274552186,475,0,2003893,6300,2010193,1
-274552186,144,3,18143,8,18163,1
-274552186,144,2,14182,2795,18163,0
-274552186,144,1,15015,1961,18163,0
-274552186,144,0,18157,1,18163,0
-274552186,144,0,18157,1,18163,1
-274552186,135,0,214626,20,215140,1
