concept_id,concept_count,subject_count,cohort_id,database_id,domain_field,domain_table
45562340,216,75,135,-520511347,condition_source_concept_id,condition_occurrence
46270162,216,75,135,-520511347,condition_concept_id,condition_occurrence
45572080,2002,581,135,-520511347,condition_source_concept_id,condition_occurrence
45557536,4524,1327,135,-520511347,condition_source_concept_id,condition_occurrence
46270163,9246,2498,135,-520511347,condition_concept_id,condition_occurrence
45533436,9246,2498,135,-520511347,condition_source_concept_id,condition_occurrence
45572079,10718,2814,135,-520511347,condition_source_concept_id,condition_occurrence
43020460,10718,2814,135,-520511347,condition_concept_id,condition_occurrence
45576865,28990,7964,135,-520511347,condition_source_concept_id,condition_occurrence
35207684,33290,13590,135,-520511347,condition_source_concept_id,condition_occurrence
45605779,45668,12262,135,-520511347,condition_source_concept_id,condition_occurrence
4296653,114474,34694,135,-520511347,condition_concept_id,condition_occurrence
45562340,88,27,144,-520511347,condition_source_concept_id,condition_occurrence
46270162,88,27,144,-520511347,condition_concept_id,condition_occurrence
45572080,882,224,144,-520511347,condition_source_concept_id,condition_occurrence
45557536,1904,483,144,-520511347,condition_source_concept_id,condition_occurrence
45533436,4130,1043,144,-520511347,condition_source_concept_id,condition_occurrence
46270163,4130,1043,144,-520511347,condition_concept_id,condition_occurrence
45572079,4962,1234,144,-520511347,condition_source_concept_id,condition_occurrence
43020460,4962,1234,144,-520511347,condition_concept_id,condition_occurrence
35207684,5944,1674,144,-520511347,condition_source_concept_id,condition_occurrence
45576865,12412,3105,144,-520511347,condition_source_concept_id,condition_occurrence
45605779,20446,5052,144,-520511347,condition_source_concept_id,condition_occurrence
4296653,41588,10163,144,-520511347,condition_concept_id,condition_occurrence
